Matrix Size,CPLEX Solution Time (Real Time (sec.)),Gurobi Solution Time (Real Time (sec.))
n=59x59,2.05144691467,0.500166893005
n=60x60,2.21881699562,0.560904979706
n=61x61,2.41454601288,0.412833929062
n=62x62,2.63402199745,0.398324966431
n=63x63,2.8075799942,0.651018857956
n=64x64,3.10267090797,0.372939109802
n=65x65,3.31193304062,0.639823198318
n=66x66,3.46504616737,0.689571142197
n=67x67,3.5538289547,0.69139790535
n=68x68,3.7138710022,0.649019002914
n=69x69,3.73336315155,0.440635204315
n=70x70,3.93572402,0.550243139267
n=71x71,4.32305312157,0.738289833069
n=72x72,5.06279802322,0.811255931854
n=73x73,5.08495402336,0.644088029861
n=74x74,5.50280189514,0.60967707634
n=75x75,5.47773694992,0.78595495224
n=76x76,5.94052195549,0.58913397789
n=77x77,7.46580505371,0.996031999588
n=78x78,7.50572013855,1.23072504997
n=79x79,5.7762928009,0.529098987579
n=80x80,6.36423897743,0.613430976868
n=81x81,6.51925182343,0.909777164459
n=82x82,6.03597307205,0.814480066299
n=83x83,6.45011806488,0.639552116394
n=84x84,8.98413205147,0.689496040344
n=85x85,7.46720385551,0.716610193253
n=86x86,7.53102397919,0.652008056641
n=87x87,8.63337206841,0.727887868881
n=88x88,7.69217014313,0.663198947906
n=89x89,10.183795929,0.714825153351
n=90x90,9.78774189949,0.906131029129
n=91x91,10.8086431026,1.15590310097
n=92x92,13.5949568748,0.999474048615
n=93x93,14.0502471924,0.86536192894
n=94x94,12.4115810394,1.01121497154
n=95x95,11.058729887,0.778147935867
n=96x96,12.7111599445,2.13199615479
n=97x97,12.2178761959,1.3636059761
n=98x98,12.2500910759,0.988044977188
n=99x99,12.8287110329,0.879575967789
n=100x100,13.4776599407,1.47605085373
n=101x101,17.436768055,1.62515497208
n=102x102,14.885117054,1.07922291756
n=103x103,15.4191288948,1.22033190727
n=104x104,15.818310976,1.12008810043
n=105x105,17.1859791279,1.18960213661
n=106x106,17.2414078712,1.0757598877
n=107x107,17.6767351627,1.34742283821
n=108x108,18.3710319996,1.18835186958
n=109x109,18.9733490944,1.16374182701
n=110x110,19.2538011074,1.38844513893
n=111x111,22.165886879,1.28838086128
n=112x112,26.4425668716,1.35903501511
n=113x113,22.691819191,1.3800110817
n=114x114,25.9312698841,1.97124099731
n=115x115,25.4455149174,1.48329210281
n=116x116,25.1055920124,1.47125196457
n=117x117,23.1198120117,1.54417109489
n=118x118,23.4692308903,1.77949690819
n=119x119,27.0627419949,1.43454003334
n=120x120,30.0069980621,2.48370885849
